group;name;protein;fat;carb;calorie
Gyümölcsök, gyümölcskészítmények;Őszibarack (gyorsfagyasztott);1;0;10,3;51
Gyümölcsök, gyümölcskészítmények;Őszibarack (befőtt);0,5;0;21,2;90
Gyümölcsök, gyümölcskészítmények;Őszibarack dzsem, üveges;0,5;0;71,3;295
Gyümölcsök, gyümölcskészítmények;Őszibarack hámozaott, gyorsfagyasztott;1,1;0;10,1;50
Gyümölcsök, gyümölcskészítmények;Ribizke, fekete;0,9;0;9,5;48
Gyümölcsök, gyümölcskészítmények;Ribizke, fekete (gyorsfagyasztott);1,9;0;9,3;56
Gyümölcsök, gyümölcskészítmények;Ribizke, vörös;0,6;0;7;34
Gyümölcsök, gyümölcskészítmények;Ribizke , vörös (gyorsfagyasztott);1,2;0;5,3;33
Gyümölcsök, gyümölcskészítmények;Sárgabarack dzsem, üveges;0,4;0;64,5;267
Gyümölcsök, gyümölcskészítmények;Szeder;0,8;0;6;33
Gyümölcsök, gyümölcskészítmények;Szeder (gyorsfagyasztott);1,6;0;6,4;37
Gyümölcsök, gyümölcskészítmények;Szilva;0,7;0;13,1;59,7
Gyümölcsök, gyümölcskészítmények;Szilva, aszalt;2,3;0;61,8;268
Gyümölcsök, gyümölcskészítmények;Szilva befőtt;0,4;0;21,9;92
Gyümölcsök, gyümölcskészítmények;Szilva, Besztercei;0,7;0;13,1;58
Gyümölcsök, gyümölcskészítmények;Szilva, vörös;0,8;0;10,2;47
Gyümölcsök, gyümölcskészítmények;Szilva, Zöldringló;0,8;0;13,5;61
Gyümölcsök, gyümölcskészítmények;Szilvaíz, natúr;1,3;0;54;231
Gyümölcsök, gyümölcskészítmények;Szőlő;0,6;0;18,1;79,3
Gyümölcsök, gyümölcskészítmények;Vegyes gyümölcs;0,7;0;10;50
Gyümölcsök, gyümölcskészítmények;Vegyes íz;1;0;60;252
Tojásfélék;FürjTojásfélék;12,5;10,8;0,7;154
Tojásfélék;Tojásfélék;13,5;12;0,6;164
Tojásfélék;Tojásfehérje;12,5;0,4;0,8;57,1
Tojásfélék;Tojásfehérje, szárított;73,4;0,3;4;320
Tojásfélék;Tojáspor;44,7;40,1;5,2;578
Tojásfélék;Tojássárgája;15;30,6;0,6;338
Sajtok;Anikó;24,2;26;1,8;349
Sajtok;Boci, ízesített;11,5;24,9;1,5;285
Sajtok;Camembert "Bakony";21,5;23;1,5;308
Sajtok;Camembert "Tihany";18,2;33,4;1,4;391
Sajtok;Camping;16,5;26,4;1,7;321
Sajtok;Derby;16,7;23,4;1,6;285
Sajtok;Edámi;26,2;26,6;1,7;362
Sajtok;Ementáli (Pannónia);27,8;29,4;1,5;394
Sajtok;Göcseji;22,2;23,3;1,4;314
Sajtok;Karaván, füstölt tömbsajt;22,3;27,3;1,9;353
Sajtok;Krém fehérsajt;13,4;20,6;1,4;252
Sajtok;Mackó, kenhető;16,7;25;2;310
Sajtok;Márvány;20;29,7;2;366
Sajtok;Parenyica;26;30,4;1,5;396
Sajtok;Parmezán;26,8;28,9;1,6;385
Sajtok;Sovány sajt;29,6;18,5;1,7;291
Sajtok;Trappista;27,7;28,1;1,6;381
Tejkészítmények;Bivalytej;5,8;26;1,8;349
Tejkészítmények;Joghurt 0%;3,4;0,1;4,6;32,9
Tejkészítmények;Joghurt, gyümölcsös;3,5;2;10,3;74
